date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:42:33	71707/71707	---M-Z	200	added ('OK')	text/html	etag:%221181b-4b62e9fc5d7a3-gzip%22	http://www.aspaklaria.info/040_MEM/MEM.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/040_MEM/MEM.html	(from http://www.aspaklaria.info/AlepBet_Title_V25.html)
17:42:34	27508/27508	---M-Z	200	added ('OK')	text/html	etag:%226b74-4b62eecb59ca0-gzip%22	http://www.aspaklaria.info/050_NUN/NUN.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/050_NUN/NUN.html	(from http://www.aspaklaria.info/AlepBet_Title_V25.html)
17:42:34	13343/13343	---M-Z	200	added ('OK')	text/html	etag:%22341f-4b62efd8de5b9-gzip%22	http://www.aspaklaria.info/060_SAMEKH/SAMEKH.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/060_SAMEKH/SAMEKH.html	(from http://www.aspaklaria.info/AlepBet_Title_V25.html)
17:42:34	39695/39695	---M-Z	200	added ('OK')	text/html	etag:%229b0f-4b62f05c31ebb-gzip%22	http://www.aspaklaria.info/070_AYIN/AYIN.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/070_AYIN/AYIN.html	(from http://www.aspaklaria.info/AlepBet_Title_V25.html)
17:42:34	18153/18153	---M-Z	200	added ('OK')	text/html	etag:%2246e9-4b62f1bebc106-gzip%22	http://www.aspaklaria.info/080_PE/PE.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/080_PE/PE.html	(from http://www.aspaklaria.info/AlepBet_Title_V25.html)
17:42:35	13664/13664	---M-Z	200	added ('OK')	text/html	etag:%223560-4b62f28aaffb1-gzip%22	http://www.aspaklaria.info/090_TSADI/TSADI.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/090_TSADI/TSADI.html	(from http://www.aspaklaria.info/AlepBet_Title_V25.html)
17:42:35	26500/26500	---M-Z	200	added ('OK')	text/html	etag:%226784-4b62f3f5e1bf0-gzip%22	http://www.aspaklaria.info/100_QOF/QOF.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/100_QOF/QOF.html	(from http://www.aspaklaria.info/AlepBet_Title_V25.html)
17:42:35	86105/86105	---M-Z	200	added ('OK')	text/html	etag:%2215059-4b62f4e70f895-gzip%22	http://www.aspaklaria.info/200_RESH/RESH.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/200_RESH/RESH.html	(from http://www.aspaklaria.info/AlepBet_Title_V25.html)
17:42:35	37350/37350	---M-Z	200	added ('OK')	text/html	etag:%2291e6-4b62f663f3278-gzip%22	http://www.aspaklaria.info/300_SHIN/SHIN.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/300_SHIN/SHIN.html	(from http://www.aspaklaria.info/AlepBet_Title_V25.html)
17:42:36	21560/21560	---M-Z	200	added ('OK')	text/html	etag:%225438-4bc4dc1261274-gzip%22	http://www.aspaklaria.info/400_TAV/TAV.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/400_TAV/TAV.html	(from http://www.aspaklaria.info/AlepBet_Title_V25.html)
17:42:36	37232/37232	---M-Z	200	added ('OK')	text/html	etag:%229170-4d85936bef82e-gzip%22	http://www.aspaklaria.info/001_ALEF/%d7%90.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/001_ALEF/%d7%90.html	(from http://www.aspaklaria.info/001_ALEF/ALEF.htm)
17:42:37	34062/34062	---M-Z	200	added ('OK')	text/html	etag:%22850e-4d85936999112-gzip%22	http://www.aspaklaria.info/001_ALEF/%d7%90%d7%91.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/001_ALEF/%d7%90%d7%91.html	(from http://www.aspaklaria.info/001_ALEF/ALEF.htm)
17:42:38	77905/77905	---M-Z	200	added ('OK')	text/html	etag:%2213051-4d8593677858d-gzip%22	http://www.aspaklaria.info/001_ALEF/%d7%90%d7%91%20%20%20%d7%95%d7%91%d7%aa.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/001_ALEF/%d7%90%d7%91%20%20%20%d7%95%d7%91%d7%aa.html	(from http://www.aspaklaria.info/001_ALEF/ALEF.htm)
17:42:39	38870/38870	---M-Z	200	added ('OK')	text/html	etag:%2297d6-4d8593658e918-gzip%22	http://www.aspaklaria.info/001_ALEF/%d7%90%d7%91%20%d7%97%d7%95%d7%93%d7%a9.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/001_ALEF/%d7%90%d7%91%20%d7%97%d7%95%d7%93%d7%a9.html	(from http://www.aspaklaria.info/001_ALEF/ALEF.htm)
17:42:39	7727/7727	---M-Z	200	added ('OK')	text/html	etag:%221e2f-4d8593650a7ae-gzip%22	http://www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%90%20%d7%90%d7%95%d7%9e%d7%a0%d7%90.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%90%20%d7%90%d7%95%d7%9e%d7%a0%d7%90.html	(from http://www.aspaklaria.info/001_ALEF/ALEF.htm)
17:42:40	6640/6640	---M-Z	200	added ('OK')	text/html	etag:%2219f0-4d85936407ef8-gzip%22	http://www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%90%20%d7%a1%d7%95%d7%a8%d7%90%d7%94.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%90%20%d7%a1%d7%95%d7%a8%d7%90%d7%94.html	(from http://www.aspaklaria.info/001_ALEF/ALEF.htm)
17:42:41	578309/578309	---MCZ	200	added ('OK')	text/html	etag:%228d305-4d85936cfb954-gzip%22	http://www.aspaklaria.info/001_ALEF/%d7%90%d7%91%20%20%20%d7%95%d7%91%d7%9f.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/001_ALEF/%d7%90%d7%91%20%20%20%d7%95%d7%91%d7%9f.html	(from http://www.aspaklaria.info/001_ALEF/ALEF.htm)
17:42:41	110543/110543	---M-Z	200	added ('OK')	text/html	etag:%221afcf-4d85936442080-gzip%22	http://www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%93%d7%94.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%93%d7%94.html	(from http://www.aspaklaria.info/001_ALEF/ALEF.htm)
17:42:41	2467/2467	---M-Z	200	added ('OK')	text/html	etag:%229a3-4d859361df681-gzip%22	http://www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%93%d7%95%d7%9f.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%93%d7%95%d7%9f.html	(from http://www.aspaklaria.info/001_ALEF/ALEF.htm)
17:42:42	11123/11123	---M-Z	200	added ('OK')	text/html	etag:%222b73-4d8593608b85a-gzip%22	http://www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%94%20%d7%97%d7%a9%d7%a7.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%94%20%d7%97%d7%a9%d7%a7.html	(from http://www.aspaklaria.info/001_ALEF/ALEF.htm)
17:42:42	2346/2346	---M-Z	200	added ('OK')	text/html	etag:%2292a-4d85935e5da03-gzip%22	http://www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%94%20%d7%90%d7%a0%d7%99%d7%95%d7%aa.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%94%20%d7%90%d7%a0%d7%99%d7%95%d7%aa.html	(from http://www.aspaklaria.info/001_ALEF/ALEF.htm)
17:42:42	1525/1525	---M-Z	200	added ('OK')	text/html	etag:%225f5-4d85935c5785d-gzip%22	http://www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%95%d7%93%20%d7%a2%d7%a6%d7%9e%d7%95%20%d7%9c%d7%93%d7%a2%d7%aa.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%95%d7%93%20%d7%a2%d7%a6%d7%9e%d7%95%20%d7%9c%d7%93%d7%a2%d7%aa.html	(from http://www.aspaklaria.info/001_ALEF/ALEF.htm)
17:42:42	52489/52489	---M--	200	added ('OK')	image/jpeg	etag:%22cd09-473234eec4800%22	http://www.aspaklaria.info/aspaklaria.JPG	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/aspaklaria.jpg	(from http://www.aspaklaria.info/Aspaklaria_main_V20.htm)
17:42:43	74507/74507	---M-Z	200	added ('OK')	text/html	etag:%221230b-4d85935b4ab3a-gzip%22	http://www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%95%d7%aa%20%20%20%d7%90%d7%9c%d7%95%d7%a7%d7%99.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%95%d7%aa%20%20%20%d7%90%d7%9c%d7%95%d7%a7%d7%99.html	(from http://www.aspaklaria.info/001_ALEF/ALEF.htm)
17:42:44	42277/42277	---M-Z	200	added ('OK')	text/html	etag:%22a525-4d859359cdd2f-gzip%22	http://www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%95%d7%aa%20%20%20%d7%91%d7%a8%d7%99%d7%aa%20%d7%95%d7%94%d7%91%d7%98%d7%97%d7%94.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%95%d7%aa%20%20%20%d7%91%d7%a8%d7%99%d7%aa%20%d7%95%d7%94%d7%91%d7%98%d7%97%d7%94.html	(from http://www.aspaklaria.info/001_ALEF/ALEF.htm)
17:42:44	20944/20944	---M-Z	200	added ('OK')	text/html	etag:%2251d0-4d8593594d23a-gzip%22	http://www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%95%d7%aa%20%20%20%d7%91%d7%a8%d7%9b%d7%94%20%d7%95%d7%94%d7%a9%d7%92%d7%97%d7%94.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%95%d7%aa%20%20%20%d7%91%d7%a8%d7%9b%d7%94%20%d7%95%d7%94%d7%a9%d7%92%d7%97%d7%94.html	(from http://www.aspaklaria.info/001_ALEF/ALEF.htm)
17:42:46	177112/177112	---M-Z	200	added ('OK')	text/html	etag:%222b3d8-4d85935895c86-gzip%22	http://www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%95%d7%aa%20%20%20%d7%96%d7%9b%d7%95%d7%aa.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%95%d7%aa%20%20%20%d7%96%d7%9b%d7%95%d7%aa.html	(from http://www.aspaklaria.info/001_ALEF/ALEF.htm)
17:42:46	637778/637778	---MCZ	200	added ('OK')	text/html	etag:%229bb52-4d859362e2705-gzip%22	http://www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%95%d7%aa.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%95%d7%aa.html	(from http://www.aspaklaria.info/001_ALEF/ALEF.htm)
17:42:46	137910/137910	---M-Z	200	added ('OK')	text/html	etag:%2221ab6-4d859357055e7-gzip%22	http://www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%95%d7%aa%20%20%20%d7%9e%d7%a2%d7%a9%d7%94%20%d7%90%d7%91%d7%95%d7%aa%20%d7%a1%d7%99%d7%9e%d7%9f%20%d7%9c%d7%91%d7%a0%d7%99%d7%9d.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%95%d7%aa%20%20%20%d7%9e%d7%a2%d7%a9%d7%94%20%d7%90%d7%91%d7%95%d7%aa%20%d7%a1%d7%99%d7%9e%d7%9f%20%d7%9c%d7%91%d7%a0%d7%99%d7%9d.html	(from http://www.aspaklaria.info/001_ALEF/ALEF.htm)
17:42:47	45176/45176	---M-Z	200	added ('OK')	text/html	etag:%22b078-4d859355fb3f9-gzip%22	http://www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%95%d7%aa%20%20%20%d7%a0%d7%91%d7%95%d7%90%d7%94.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%95%d7%aa%20%20%20%d7%a0%d7%91%d7%95%d7%90%d7%94.html	(from http://www.aspaklaria.info/001_ALEF/ALEF.htm)
17:42:47	18100/18100	---M-Z	200	added ('OK')	text/html	etag:%2246b4-4d85935412717-gzip%22	http://www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%95%d7%aa%20%20%20%d7%a8%d7%9b%d7%95%d7%a9.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%95%d7%aa%20%20%20%d7%a8%d7%9b%d7%95%d7%a9.html	(from http://www.aspaklaria.info/001_ALEF/ALEF.htm)
17:42:48	118421/118421	---M-Z	200	added ('OK')	text/html	etag:%221ce95-4d8593544a99f-gzip%22	http://www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%95%d7%aa%20%20%20%d7%aa%d7%95%d7%a8%d7%94.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%95%d7%aa%20%20%20%d7%aa%d7%95%d7%a8%d7%94.html	(from http://www.aspaklaria.info/001_ALEF/ALEF.htm)
17:42:48	45401/45401	---M-Z	200	added ('OK')	text/html	etag:%22b159-4d85935214e4f-gzip%22	http://www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%95%d7%aa%20%20%20%d7%aa%d7%a4%d7%9c%d7%94.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%95%d7%aa%20%20%20%d7%aa%d7%a4%d7%9c%d7%94.html	(from http://www.aspaklaria.info/001_ALEF/ALEF.htm)
17:42:48	10558/10558	---M-Z	200	added ('OK')	text/html	etag:%22293e-4d859351a29e6-gzip%22	http://www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%99%d7%91.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%99%d7%91.html	(from http://www.aspaklaria.info/001_ALEF/ALEF.htm)
17:42:49	4466/4466	---M-Z	200	added ('OK')	text/html	etag:%221172-4d859350d9eca-gzip%22	http://www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%99%d7%90%d7%9c.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%99%d7%90%d7%9c.html	(from http://www.aspaklaria.info/001_ALEF/ALEF.htm)
17:42:49	40176/40176	---M-Z	200	added ('OK')	text/html	etag:%229cf0-4d85935095532-gzip%22	http://www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%99%d7%92%d7%99%d7%9c.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%99%d7%92%d7%99%d7%9c.html	(from http://www.aspaklaria.info/001_ALEF/ALEF.htm)
17:42:49	19385/19385	---M-Z	200	added ('OK')	text/html	etag:%224bb9-4d85934fad9b1-gzip%22	http://www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%99%d7%94%20%d7%9e%d7%9c%d7%9a%20%d7%99%d7%94%d7%95%d7%93%d7%94.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%99%d7%94%20%d7%9e%d7%9c%d7%9a%20%d7%99%d7%94%d7%95%d7%93%d7%94.html	(from http://www.aspaklaria.info/001_ALEF/ALEF.htm)
17:42:50	6422/6422	---M-Z	200	added ('OK')	text/html	etag:%221916-4d85934f73030-gzip%22	http://www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%99%d7%94.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%99%d7%94.html	(from http://www.aspaklaria.info/001_ALEF/ALEF.htm)
17:42:50	6004/6004	---M-Z	200	added ('OK')	text/html	etag:%221774-4d85934eafe98-gzip%22	http://www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%99%d7%95%d7%9f%20%20%20%d7%93%d7%9c.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%99%d7%95%d7%9f%20%20%20%d7%93%d7%9c.html	(from http://www.aspaklaria.info/001_ALEF/ALEF.htm)
17:42:50	2369/2369	---M-Z	200	added ('OK')	text/html	etag:%22941-4d85934e7ca1e-gzip%22	http://www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%99%d7%95%d7%a0%d7%94.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%99%d7%95%d7%a0%d7%94.html	(from http://www.aspaklaria.info/001_ALEF/ALEF.htm)
17:42:50	1707/1707	---M-Z	200	added ('OK')	text/html	etag:%226ab-4d85934dd69ad-gzip%22	http://www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%99%d7%9e%d7%9c%d7%9a.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%99%d7%9e%d7%9c%d7%9a.html	(from http://www.aspaklaria.info/001_ALEF/ALEF.htm)
17:42:51	79449/79449	---M-Z	200	added ('OK')	text/html	etag:%2213659-4d85934db4328-gzip%22	http://www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%99%d7%9e%d7%9c%d7%9a%20%20%20%d7%95%d7%90%d7%91%d7%a8%d7%94%d7%9d.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%99%d7%9e%d7%9c%d7%9a%20%20%20%d7%95%d7%90%d7%91%d7%a8%d7%94%d7%9d.html	(from http://www.aspaklaria.info/001_ALEF/ALEF.htm)
17:42:51	45364/45364	---M-Z	200	added ('OK')	text/html	etag:%22b134-4d85934d0a80c-gzip%22	http://www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%99%d7%9e%d7%9c%d7%9a%20%20%20%d7%95%d7%99%d7%a6%d7%97%d7%a7.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%99%d7%9e%d7%9c%d7%9a%20%20%20%d7%95%d7%99%d7%a6%d7%97%d7%a7.html	(from http://www.aspaklaria.info/001_ALEF/ALEF.htm)
17:42:51	44181/44181	---M-Z	200	added ('OK')	text/html	etag:%22ac95-4d85934c1a01a-gzip%22	http://www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%99%d7%9e%d7%9c%d7%9a%20%20%20%d7%95%d7%a9%d7%a8%d7%94.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%99%d7%9e%d7%9c%d7%9a%20%20%20%d7%95%d7%a9%d7%a8%d7%94.html	(from http://www.aspaklaria.info/001_ALEF/ALEF.htm)
17:42:51	23397/23397	---M-Z	200	added ('OK')	text/html	etag:%225b65-4d85934b96a96-gzip%22	http://www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%99%d7%9e%d7%9c%d7%9a%20%20%20%d7%91%d7%9f%20%d7%99%d7%a8%d7%95%d7%91%d7%a2%d7%9c.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%99%d7%9e%d7%9c%d7%9a%20%20%20%d7%91%d7%9f%20%d7%99%d7%a8%d7%95%d7%91%d7%a2%d7%9c.html	(from http://www.aspaklaria.info/001_ALEF/ALEF.htm)
17:42:52	4630/4630	---M-Z	200	added ('OK')	text/html	etag:%221216-4d85934a7f910-gzip%22	http://www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%99%d7%a8.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%99%d7%a8.html	(from http://www.aspaklaria.info/001_ALEF/ALEF.htm)
17:42:52	3467/3467	---M-Z	200	added ('OK')	text/html	etag:%22d8b-4d85934a12ede-gzip%22	http://www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%99%d7%a8%20%d7%99%d7%a2%d7%a7%d7%91.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%99%d7%a8%20%d7%99%d7%a2%d7%a7%d7%91.html	(from http://www.aspaklaria.info/001_ALEF/ALEF.htm)
17:42:52	6745/6745	---M-Z	200	added ('OK')	text/html	etag:%221a59-4d859349a39c6-gzip%22	http://www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%99%d7%a9%d7%92.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%99%d7%a9%d7%92.html	(from http://www.aspaklaria.info/001_ALEF/ALEF.htm)
17:42:52	15850/15850	---M-Z	200	added ('OK')	text/html	etag:%223dea-4d8593494499c-gzip%22	http://www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%99%d7%a9%d7%99.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%99%d7%a9%d7%99.html	(from http://www.aspaklaria.info/001_ALEF/ALEF.htm)
17:42:53	14617/14617	---M-Z	200	added ('OK')	text/html	etag:%223919-4d85934844052-gzip%22	http://www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%99%d7%aa%d7%a8.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%99%d7%aa%d7%a8.html	(from http://www.aspaklaria.info/001_ALEF/ALEF.htm)
17:42:53	2466/2466	---M-Z	200	added ('OK')	text/html	etag:%229a2-4d859346f1d6f-gzip%22	http://www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%9c.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/001_ALEF/%d7%90%d7%91%d7%9c.html	(from http://www.aspaklaria.info/001_ALEF/ALEF.htm)
